French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
endroit,place
trouve,find
premier,first
perdu,lost
main,hand
côté,side
vieux,old
sois,be
matin,morning
enfant,child
point,point
venu,came
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
espère,hope
attendez,Wait
boulot,job
arrêter,Stop
terre,Earth
compte,account
loin,far
croire,believe
gros,large
plutôt,rather
filles,girls
